symbol,name,exchange,index,isin
0232.KL,VOLCANO BERHAD,XKLS,,
0233.KL,PEKAT GROUP BERHAD,XKLS,,
0235.KL,NESTCON BERHAD,XKLS,,
0236.KL,RAMSSOL GROUP BERHAD,XKLS,,
0237.KL,HAILY GROUP BERHAD,XKLS,,
0238.KL,CEKD BERHAD,XKLS,,
0239.KL,ECOMATE HOLDINGS BERHAD,XKLS,,
0240.KL,CORAZA INTEGRATED TECHNOLOGY BERHAD,XKLS,,
0241.KL,TAGHILL HOLDINGS BERHAD,XKLS,,
0242.KL,PAPPAJACK BERHAD,XKLS,,
0243.KL,CENGILD MEDICAL BERHAD,XKLS,,
0245.KL,MN HOLDINGS BERHAD,XKLS,,
0246.KL,CNERGENZ BERHAD,XKLS,,
0247.KL,UNITRADE INDUSTRIES BERHAD,XKLS,,
0248.KL,YEW LEE PACIFIC GROUP BERHAD,XKLS,,
0249.KL,LGMS BERHAD,XKLS,,
0250.KL,YX PRECIOUS METALS BHD,XKLS,,
0251.KL,SFP TECH HOLDINGS BERHAD,XKLS,,
0252.KL,ORGABIO HOLDINGS BERHAD,XKLS,,
0253.KL,INFOLINE TEC GROUP BERHAD,XKLS,,
0255.KL,ECOSCIENCE INTERNATIONAL BERHAD,XKLS,,
0256.KL,UMEDIC GROUP BERHAD,XKLS,,
0257.KL,UNIQUE FIRE HOLDINGS BERHAD,XKLS,,
0258.KL,AGMO HOLDINGS BERHAD,XKLS,,
0259.KL,SNS NETWORK TECHNOLOGY BERHAD,XKLS,,
0260.KL,PT RESOURCES HOLDINGS BERHAD,XKLS,,
0261.KL,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,XKLS,,
0262.KL,SUNVIEW GROUP BERHAD,XKLS,,
0263.KL,BETAMEK BERHAD,XKLS,,
0265.KL,INFOMINA BERHAD,XKLS,,
0266.KL,LEFORM BERHAD,XKLS,,
0267.KL,ECA INTEGRATED SOLUTION BERHAD,XKLS,,
0268.KL,L&P GLOBAL BERHAD,XKLS,,
0269.KL,DS SIGMA HOLDINGS BERHAD,XKLS,,
0270.KL,NATIONGATE HOLDINGS BERHAD,XKLS,,
0271.KL,WELLSPIRE HOLDINGS BERHAD,XKLS,,
0272.KL,TT VISION HOLDINGS BERHAD,XKLS,,
0273.KL,VESTLAND BERHAD,XKLS,,
0275.KL,OPPSTAR BERHAD,XKLS,,
0276.KL,AUTOCOUNT DOTCOM BERHAD,XKLS,,
0277.KL,CLOUDPOINT TECHNOLOGY BERHAD,XKLS,,
0278.KL,EDELTEQ HOLDINGS BERHAD,XKLS,,
0279.KL,SYNERGY HOUSE BERHAD,XKLS,,
0280.KL,MYMBN BERHAD,XKLS,,
0281.KL,DAYTHREE DIGITAL BERHAD,XKLS,,
0282.KL,KGW GROUP BERHAD,XKLS,,
0283.KL,DC HEALTHCARE HOLDINGS BERHAD,XKLS,,
0284.KL,GLOSTREXT BERHAD,XKLS,,
0285.KL,MERCURY SECURITIES GROUP BERHAD,XKLS,,
0286.KL,EVERGREEN MAX CASH CAPITAL BERHAD,XKLS,,
0287.KL,SSF HOME GROUP BERHAD,XKLS,,
0288.KL,MINOX INTERNATIONAL GROUP BERHAD,XKLS,,
